"","bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs upper CI","cs mean","cs lower CI","en upper CI","en mean","en lower CI","CS_Annotator_ 1","CS_Annotator_ 2","CS_Annotator_ 3","CS_Annotator_ 4","CS_Annotator_ 5","CS_Annotator_ 6","CS_Annotator_ 7","CS_Annotator_ 8","CS_Annotator_ 9","CS_Annotator_ 10","CS_Annotator_ 11","CS_Annotator_ 12","CS_Annotator_ 13","CS_Annotator_ 14","CS_Annotator_ 15","CS_Annotator_ 16","CS_Annotator_ 17","CS_Annotator_ 18","CS_Annotator_ 19","CS_Annotator_ 20","CS_Annotator_ 21","CS_Annotator_ 22","CS_Annotator_ 23","CS_Annotator_ 24","CS_Annotator_ 25"
"48","boxing-round_box-kolo","boxing-round","boxing","round","box-kolo","box","kolo",4.52344902903557,3.572,2.62055097096443,8.38610113751488,7.609375,6.83264886248512,0,2,6,1,7,4,0,1,7,6,3,1,4,6.8,3,4.5,2,5,3,4,1,5,6,1,6
"51","boy-lad_chlapec-hoch","boy-lad","boy","lad","chlapec-hoch","chlapec","hoch",9.57436299822161,9.026,8.47763700177839,9.82405505043204,8.82692307692308,7.82979110341411,10,6,9,7,10,9,5,9,10,9,8,10,10,10,9,9.9,9,8,9,9,10,10,9.75,10,10
"53","bread-butter_chleba-máslo","bread-butter","bread","butter","chleba-máslo","chleba","máslo",8.32213600517053,7.844,7.36586399482947,7.35951350288136,6.19230769230769,5.02510188173402,7,6.5,7,8,7,7,10,7,9,7,7,8,10,9.6,6,7,8,8,7,8,10,8,9,7,8
"54","brother-monk_bratr-mnich","brother-monk","brother","monk","bratr-mnich","bratr","mnich",7.02970082577887,6.012,4.99429917422113,7.66813855497922,6.26923076923077,4.87032298348232,8,2,6,8,5,8,4,2,7,7,5,8,9,6.8,2,8.5,6,3,9,1,9,5,7,6,8
"57","calculation-computation_výpočet-počítání","calculation-computation","calculation","computation","výpočet-počítání","výpočet","počítání",8.67971962042737,8.184,7.68828037957263,9.07452504114311,8.4375,7.80047495885689,9,7,8,8,9,7,8,7,9.5,7,7,9,9,9.1,8,9,7,5,8,7,10,9,9,9,10
"58","canyon-landscape_kaňon-krajina","canyon-landscape","canyon","landscape","kaňon-krajina","kaňon","krajina",6.88862240182792,5.992,5.09537759817208,8.04113693780138,7.53125,7.02136306219862,7,2,6,3,7,5,9,1,8,6,4,8,8,7.8,8,6,6,5,7,6,10,4,4,5,7
"60","car-automobile_auto-automobil","car-automobile","car","automobile","auto-automobil","auto","automobil",9.96798292653247,9.816,9.66401707346753,9.97092817000553,8.94230769230769,7.91368721460985,10,10,9,9.9,10,10,10,10,10,9,9,10,10,10,9.8,9.9,10,9.8,9,10,10,10,10,10,10
"62","car-flight_auto-let","car-flight","car","flight","auto-let","auto","let",5.52854448595368,4.612,3.69545551404632,6.04620809469762,4.9375,3.82879190530238,4,4,3,6,4,0,9,2,8,5,4,7,2,7.8,5,4.5,4,5,6,4,7,5,4,5,0
"64","cell-phone_mobil-telefon","cell-phone","cell","phone","mobil-telefon","mobil","telefon",9.42022142905034,9.088,8.75577857094965,8.59609764746847,7.8125,7.02890235253153,10,9,9,8,9,10,10,8,10,8,8,9,10,9.7,9,9.5,9,8,8,9,10,10,10,8,9
"66","cemetery-woodland_hřbitov-zalesnění","cemetery-woodland","cemetery","woodland","hřbitov-zalesnění","hřbitov","zalesnění",3.02382901776422,2.324,1.62417098223578,3.04698392145903,2.07692307692308,1.10686223238713,5,1,1,2,4,0,3,0,1,4,2,5,3,2.6,2,4,1,4,5,0,0,3,2.5,3,0
"69","century-nation_století-národ","century-nation","century","nation","století-národ","století","národ",4.92507358926685,3.988,3.05092641073315,4.44587513984544,3.15625,1.86662486015456,4,0,2,1,2,2,10,5,7,6,1,3,5,7.7,3,5,3,5,4,5,6,3,4,3,3
"70","century-year_století-rok","century-year","century","year","století-rok","století","rok",8.15197632610376,7.548,6.94402367389624,8.23332361486055,7.59375,6.95417638513945,7,6,7,4,9,8,10,6,10,8,7,8,6,8.7,8,9,8,7,8,6,10,6,7,7,8
"73","closet-clothes_šatník-šaty","closet-clothes","closet","clothes","šatník-šaty","šatník","šaty",8.66464803092805,8.146,7.62735196907195,8.84812767386006,8,7.15187232613994,7,6,7,9,9,9,10,6,9.5,8,7,9,10,9.9,7,8,8,7,8,8,10,7,9.25,7,8
"522","coast-forest_pobřeží-les","coast-forest","pobřeží","les","pobřeží-les","pobřeží","les",5.90433140132262,4.948,3.99166859867738,4.43208985076941,3.15384615384615,1.8756024569229,4,3,1,4,7,5,3,0,2,8,4,6,3,9.2,5,6,8,6,6,4,9,5,6.5,5,4
"74","coast-hill_pobřeží-kopec","coast-hill","coast","hill","pobřeží-kopec","pobřeží","kopec",6.51352755580348,5.512,4.51047244419652,5.35708632192061,4.38461538461539,3.41214444731016,7,1,5,1,6,4,8,0,8,6,5,8,4,7.8,4,8,6,6,7,4,10,7,5,6,4
"76","coast-shore_pobřeží-břeh","coast-shore","coast","shore","pobřeží-břeh","pobřeží","břeh",9.19694523221011,8.892,8.58705476778989,9.9974150694185,9.09615384615385,8.19489262288919,9,8.5,9,8,9,8,10,9,9.5,8,9,9,9,9.8,9,9.5,8,7,8,9,10,9,10,9,9
"77","company-stock_společnost-akcie","company-stock","company","stock","společnost-akcie","společnost","akcie",7.18415001625416,6.404,5.62384998374583,7.98207185765626,7.07692307692308,6.1717742961899,7,1,6,7,7,6,9,4,7,8,4,8,4,7.6,7,8,7,6,6,6,10,7,7.5,4,6
"79","competition-price_soutěž-cena","competition-price","competition","price","soutěž-cena","soutěž","cena",7.87915271613728,7.352,6.82484728386272,7.36492041144784,6.4375,5.51007958855216,7,7,6,7,9,6,9,8,9,8,5,8,9,8.8,8,7,7,7,6,7,10,7,6,6,6
"80","computer-internet_počítač-internet","computer-internet","computer","internet","počítač-internet","počítač","internet",8.55895261927459,8.12,7.68104738072541,8.29454762929372,7.57692307692308,6.85929852455243,6,7,7,8,10,8,10,7,9,8,7,8,9,8.5,7,7.5,9,8,8,8,10,9,9,7,8
"81","computer-keyboard_počítač-klávesnice","computer-keyboard","computer","keyboard","počítač-klávesnice","počítač","klávesnice",8.04703438828497,7.418,6.78896561171503,8.67759237009264,7.61538461538461,6.55317686067659,4,7,7,8,7,8,10,3,8,7,7,8,7,9.7,7,8.5,7,7,7,8,10,8,8.25,7,7
"82","computer-laboratory_počítač-laboratoř","computer-laboratory","computer","laboratory","počítač-laboratoř","počítač","laboratoř",6.26762969982634,5.5,4.73237030017366,7.55324942013472,6.78125,6.00925057986528,5,4,4,5,7,6,9,4,7,5,2,6,2,9,4,6.5,4,5,4,8,7,5,7,5,7
"83","computer-news_počítač-zprávy","computer-news","computer","news","počítač-zprávy","počítač","zprávy",6.05444337108204,5.132,4.20955662891796,5.49589321945004,4.46875,3.44160678054996,6,3,3,6.5,3,8,10,2,9,6,4,7,3,4.8,3,3,6,8,3,5,2,6,5,5,7
"85","computer-software_počítač-software","computer-software","computer","software","počítač-software","počítač","software",8.91927698925544,8.412,7.90472301074456,8.88914766542907,8.5,8.11085233457093,8,8,8,9,10,9,10,6,10,9,8,9,8,9.8,6,8,9,6,8,8,10,9,9.5,7,8
"86","concert-virtuoso_koncert-virtuos","concert-virtuoso","concert","virtuoso","koncert-virtuos","koncert","virtuos",8.24953006736452,7.524,6.79846993263548,7.80403935514232,6.8125,5.82096064485768,8,2,7,7,7,8,10,6,9,7,5,8,10,9.6,8,7.5,8,8,8,6,10,7,9,7,6
"87","consumer-confidence_zákazník-sebevědomí","consumer-confidence","consumer","confidence","zákazník-sebevědomí","zákazník","sebevědomí",4.67899304714349,3.7,2.72100695285651,5.44286969815122,4.125,2.80713030184878,1,0,1,3,9,2,3,0,5,7,2,4,5,7,2,3.5,3,6,4,4,5,0,5,5,6
"90","consumer-energy_zákazník-energie","consumer-energy","consumer","energy","zákazník-energie","zákazník","energie",4.72793430302594,3.848,2.96806569697406,6.22542913814606,4.75,3.27457086185394,6,3,0,4,6,3,5,0,7,6,1,7,5,3.2,2,5,4,5,5,3,7,2,4,1,2
"93","country-citizen_země-občan","country-citizen","country","citizen","země-občan","země","občan",7.76624710442447,6.94,6.11375289557553,7.8870284590766,7.3125,6.7379715409234,6,7,5,9,10,9,4,8,9.5,6,6,8,8,9,7,6,8,9,3,7,2,7,6,6,8
"94","crane-implement_jeřáb-nářadí","crane-implement","crane","implement","jeřáb-nářadí","jeřáb","nářadí",5.68508260776561,4.724,3.76291739223439,4.40834319693586,2.69230769230769,0.976272187679528,8,2.5,3,8,2,0,1,1,6,4,3,8,5,7.6,4,6,6,6,5,5,4,6,5,4,8
"98","credit-card_kreditní-karta","credit-card","credit","card","kreditní-karta","kreditní","karta",8.55807840671927,7.9,7.24192159328073,8.72143484907561,8.0625,7.40356515092439,6,6,5,8,8,10,10,9,9,8,7,8,10,10,8,7,9,5,9,8,10,7,8.5,6,6
"99","credit-information_věrohodnost-informace","credit-information","credit","information","věrohodnost-informace","věrohodnost","informace",7.13992462116517,6.26,5.38007537883483,6.85343078191691,5.3125,3.77156921808309,4,2,4,7,8,9,10,8,8,7,7,6,2,7.5,5,7.5,7,5,6,5,10,5,5.5,4,7
"102","cucumber-potato_okurka-brambor","cucumber-potato","cucumber","potato","okurka-brambor","okurka","brambor",7.27785425160594,6.352,5.42614574839406,6.73049514857043,5.92307692307692,5.11565869758342,5,5,7,5,6,2,9,1,7,8,6,8,4,8.8,8,8,8,4,8,5,10,8,4,6,8
"107","cup-article_šálek-kus","cup-article","cup","article","šálek-kus","šálek","kus",3.94792209226216,2.88,1.81207790773784,3.90389059180346,2.40384615384615,0.903801715888846,0,2,0,2,1,0,10,0,5,6,2,1,6,4,5,3,4,4,5,2,6,1,0,0,3
"110","cup-artifact_šálek-artefakt","cup-artifact","cup","artifact","šálek-artefakt","šálek","artefakt",4.01561904801674,2.96,1.90438095198326,4.47281972889028,2.92307692307692,1.37333411726356,0,1,1,1,7,0,3,0,3,6,4,5,6,3,0,5,1,2,5,2,10,2,2,1,4
"112","cup-coffee_hrnek-káva","cup-coffee","cup","coffee","hrnek-káva","hrnek","káva",8.2039667480915,7.58,6.9560332519085,7.82176711385983,6.57692307692308,5.33207903998632,6,6,6,8.5,9,9,9,4,10,6,7,9,8,9,7,7,8,6,7,8,10,9,6,8,7
"115","cup-drink_hrnek-pít","cup-drink","cup","drink","hrnek-pít","hrnek","pít",7.57901770819196,7.012,6.44498229180804,8.10460070268766,7.25,6.39539929731234,7,5,7,8,6,7,9,7,9,7,5,7,6,9.3,5,7,8,5,7,6,10,7,8,6,7
"117","cup-entity_šálek-entita","cup-entity","cup","entity","šálek-entita","šálek","entita",2.25527985342801,1.544,0.832720146571991,3.333023619305,2.15384615384615,0.974668688387309,3,1,0,0,1,0,0,0,1,3,1,4,4,3.1,1,2,0,6,3,0,0,0,0.5,1,4
"119","cup-food_šálek-jídlo","cup-food","cup","food","šálek-jídlo","šálek","jídlo",5.8589109792669,5.04,4.2210890207331,6.07534896892631,5,3.92465103107369,6,2,4,6.5,7,7,7,0,7,5,6,7,3,6.5,2,6,6,4,5,3,7,5,3,4,7
"122","cup-liquid_hrnek-tekutina","cup-liquid","cup","liquid","hrnek-tekutina","hrnek","tekutina",6.84430769241577,6.052,5.25969230758423,7.08624508313076,5.90384615384615,4.72144722456155,5,6,6,8,8,8,5,2,9,6,5,7,6,7.8,2,5,8,3,7,5,8,8,6.5,6,4
"125","cup-object_šálek-věc","cup-object","cup","object","šálek-věc","šálek","věc",4.92246286810875,3.872,2.82153713189125,5.18040563670188,3.69230769230769,2.2042097479135,2,1,4,8,5,2,2,0,8,6,3,7,6,6.8,2,4,1,6,5,2,8,2,1,1,4
"128","cup-substance_hrnek-látka","cup-substance","cup","substance","hrnek-látka","hrnek","látka",2.65784292142547,1.836,1.01415707857453,2.8282257038101,1.92307692307692,1.01792814234374,2,0,0,7,1,0,0,0,3,4,1,5,4,2.9,0,2,1,1,5,1,1,1,0,0,4
"131","cup-tableware_hrnek-příbory","cup-tableware","cup","tableware","hrnek-příbory","hrnek","příbory",6.97589980032487,6.06,5.14410019967513,7.88101360094841,6.84615384615385,5.81129409135928,6,2,7,5,6,4,10,1,5,8,3,6,5,7.5,8,8,7,4,6,5,10,6,8,6,8
"132","currency-market_měna-trh","currency-market","currency","market","měna-trh","měna","trh",6.93257665555078,6.204,5.47542334444922,8.16696549568354,7.5,6.83303450431646,3,5,7,6,8,6,8,3,9,6,4,8,6,7.6,7,6,8,4.5,6,5,10,4,6,6,6
"133","day-dawn_den-úsvit","day-dawn","day","dawn","den-úsvit","den","úsvit",8.16041678764346,7.568,6.97558321235654,8.02222372755766,7.53125,7.04027627244234,8,7,6,7,7,10,8,4,10,6,7,8,8,9.8,8,7,6,9.9,8,7,7,8,6.5,7,9
"135","day-summer_den-léto","day-summer","day","summer","den-léto","den","léto",5.42331357015808,4.4,3.37668642984192,5.04620809469762,3.9375,2.82879190530238,7,0,6,2,6,2,9,0,7,7,3,5,4,6.5,1,6.5,4,2,5,5,8,3,4,2,5
"138","death-inmate_smrt-pacient","death-inmate","death","inmate","smrt-pacient","smrt","pacient",6.7179145124107,5.828,4.9380854875893,6.15097443897712,5.03125,3.91152556102288,3,2,7,5,7,7,10,1,6,6,4,8,6,8.7,4,6,6,5,7,4,10,6,5,6,6
"140","death-row_smrt-hádka","death-row","death","row","smrt-hádka","smrt","hádka",4.15250369634207,3.228,2.30349630365793,6.73820365476895,5.25,3.76179634523105,7,2,3,3,4,0,1,0,4,5,1,7,3,6.7,1,4,3,2,5,1,8,2,4,2,2
"143","decoration-valor_řád-udatnost","decoration-valor","decoration","valor","řád-udatnost","řád","udatnost",6.47857408866946,5.42,4.36142591133054,7.29737312818267,5.625,3.95262687181733,4,2,7,2,8,7,10,0,8,6,4,5,6,1,5,7.5,7,8,7,6,8,2,3,6,6
"146","delay-news_zpoždění-zprávy","delay-news","delay","news","zpoždění-zprávy","zpoždění","zprávy",4.8051850430118,3.78,2.7548149569882,4.44234837908436,3.3125,2.18265162091564,4,1,4,4,2,3,5,0,7,8,1,7,7,6,6,3,1,5,3,5,1,2,7.5,2,0
"147","delay-racism_zpoždění-rasismus","delay-racism","delay","racism","zpoždění-rasismus","zpoždění","rasismus",0.708571285045308,0.44,0.171428714954692,2.10465818231179,1.1875,0.270341817688212,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,2,0,1,1,0,0,0,0,0,0
"150","deployment-departure_rozmístění-odchod","deployment-departure","deployment","departure","rozmístění-odchod","rozmístění","odchod",5.19685206299695,4.108,3.01914793700305,5.61894825712027,4.25,2.88105174287973,3,0,5,7,5,4,0,0,4,7,1,4,4,6.7,3,4,3,4,5,1,10,6,2,5,9
"151","deployment-withdrawal_nasazení-stažení","deployment-withdrawal","deployment","withdrawal","nasazení-stažení","nasazení","stažení",7.02752663340929,5.712,4.3964733665907,7.36796591863616,5.875,4.38203408136384,2,2,6,8,8,7,0,8,9,7,1,1,2,8.8,9,7,7,3,2,6,10,9,4,6,10
"154","development-issue_vývoj-otázka","development-issue","development","issue","vývoj-otázka","vývoj","otázka",4.61895107515544,3.544,2.46904892484456,5.10525419956103,3.96875,2.83224580043897,6,0,0,3,7,0,8,0,7,6,1,1,3,7.6,4,3,2,4,6,3,5,3,4,0,5
"155","direction-combination_směr-kombinace","direction-combination","direction","combination","směr-kombinace","směr","kombinace",2.62967230721603,1.752,0.874327692783971,3.32456911341493,2.25,1.17543088658507,1,0,0,1,7,0,0,0,2,4,1,3,5,6.8,0,2,0,4,2,2,2,1,0,0,0
"157","disability-death_invalidita-smrt","disability-death","disability","death","invalidita-smrt","invalidita","smrt",6.13308571111731,5.196,4.25891428888269,6.6581546699277,5.46875,4.2793453300723,3,2,7,3,4,7,10,3,7,6,2,7,3,7.1,5,5,5,1.8,8,3,7,3,7,7,7
"160","disaster-area_pohroma-oblast","disaster-area","disaster","area","pohroma-oblast","pohroma","oblast",5.77491094602615,4.82,3.86508905397385,7.54796935587344,6.25,4.95203064412656,4,2,3,5,7,4,9,0,3,7,3,6,6,8,6,5,3,4,6,5,9,2,1.5,6,6
"161","discovery-space_objev-vesmír","discovery-space","discovery","space","objev-vesmír","objev","vesmír",6.23665691461196,5.356,4.47534308538804,7.30052490449487,6.34375,5.38697509550513,6,3,5,6,7,6,10,0,7,7,3,4,6,7.9,7,5,4,6,6,6,8,3,3,5,3
"162","dividend-calculation_dividenda-výpočet","dividend-calculation","dividend","calculation","dividenda-výpočet","dividenda","výpočet",6.56208003103254,5.64,4.71791996896746,7.58770122819223,6.484375,5.38104877180777,5,3,4,7,6,8,7,2,10,6,5,7,7,9,3,4,8,8,5,3,7,2,3,5,7
"165","dividend-payment_dividenda-platba","dividend-payment","dividend","payment","dividenda-platba","dividenda","platba",7.13911391371923,6.42,5.70088608628077,8.32316496679278,7.625,6.92683503320722,7,7,7,8,8,8,5,3,9,8,3,7,4,9,5,6,4,5,7,7,8,5,7.5,6,7
"166","doctor-liability_doktor-riziko","doctor-liability","doctor","liability","doktor-riziko","doktor","riziko",5.19934447574468,4.4,3.60065552425532,6.20262265922281,5.1875,4.17237734077719,1,2,5,4,4,4,5,0,7,4,5,5,4,7,2,4,3,7,7,4,2,6,6,6,6
"170","doctor-nurse_doktor-sestra","doctor-nurse","doctor","nurse","doktor-sestra","doktor","sestra",8.13695046131614,7.588,7.03904953868386,7.60429395207723,7,6.39570604792277,8,4,7,7,6,8,10,7,9,8,7,9,6,9.2,8,7.5,7,7,8,7,10,8,8,6,8
"172","doctor-personnel_doktor-personál","doctor-personnel","doctor","personnel","doktor-personál","doktor","personál",5.4401004883548,4.72,3.9998995116452,6.15111431804268,5,3.84888568195732,6,4,5,6,3,2,5,1,8,5,5,5,4,6,5,5,6,5,6,1,8,4,5,3,5
"174","dollar-buck_dolar-doláč","dollar-buck","dollar","buck","dolar-doláč","dolar","doláč",9.62690112896376,8.3,6.97309887103624,9.61950538218502,9.21875,8.81799461781498,9,10,9,9,10,0,10,10,10,7,9,10,10,0,0,9.5,9,9,8,9,10,10,10,10,10
"175","dollar-loss_dolar-ztráta","dollar-loss","dollar","loss","dolar-ztráta","dolar","ztráta",5.32359355321394,4.48,3.63640644678606,7.01781568016467,6.09375,5.16968431983533,4,4,1,2,5,4,9,4,8,7,2,7,4,6,3,5,4,2,6,4,7,4,2,5,3
"176","dollar-profit_dolar-zisk","dollar-profit","dollar","profit","dolar-zisk","dolar","zisk",6.88372477974864,6.224,5.56427522025136,8.01665128231955,7.375,6.73334871768045,7,3,5,5,7,7,10,5,8,7,5,8,7,7.6,7,7,5,3,7,5,7,5,7,5,6
"178","dollar-yen_dolar-yen","dollar-yen","dollar","yen","dolar-yen","dolar","yen",8.09481179051469,7.4,6.70518820948531,8.71929340385588,7.78125,6.84320659614412,9,5,7,7,7,4,9,4,9.5,8,6,9,7,8.5,9,8.5,8,5,8,6,10,9,6.5,7,8
"180","drink-car_pít-auto","drink-car","drink","car","pít-auto","pít","auto",4.11838779212217,3.088,2.05761220787783,4.61069815907333,3.03846153846154,1.46622491784975,8,0,2,2,4,0,10,2,2,5,1,4,0,3.7,4,4,3,5,3,0,6,3,3.5,0,2
