slug,category_title,doc2vec_best_of_variants,tfidf,word2vec-cswiki-eval-1,word2vec-eval-1,word2vec-eval-2,word2vec-eval-3,word2vec-eval-4,word2vec-fasttext-full-text
nevera-nemusi-vzdy-znamenat-konec-nebojte-se-dat-vztahu-jeste-sanci,Vztahy,0.62,0.6,1.0,0.82,0.45,0.81,0.66,0.16
osm-mytu-o-oparech-pomuze-zubni-pasta-chlad-a-imunita,Zdraví,0,0.67,0.45,0.69,0.65,0.87,1.0,0.0
pastrnak-hertl-a-kubalik-se-strelecky-prosadili-zadina-asistoval,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39
plzen-po-tesnych-vyhrach-spustila-kanonadu-sparta-se-stestim-slavia-ztratila,Sport,1.0,1.0,0.92,1.0,0.93,1.0,0.67,0.41
pozor-na-pusu-tyto-osemetne-vety-svobodne-zene-nikdy-nerikejte,Vztahy,0.21,0.47,0.41,0.33,0.31,0.45,0.34,0.0
pribeh-marka-zena-chce-dite-ja-karieru,Vztahy,0.81,0.94,0.34,0.48,0.77,0.64,0.16,0.23
proc-obezni-prohravaji-s-covidem-proplouvaji-systemem-byvaji-podvysetreni,Vztahy,0.76,0.48,0.56,0.59,0.75,0.99,0.43,0.0
prodej-zbrani-po-deseti-letech-stagnuje-nizsi-export-hlasi-rusko-i-cina,Finance,0.72,0.73,0.69,0.38,0.65,0.82,0.43,0.11
rec-krevnich-skupin-co-o-nas-vypovidaji-a-ovlivnuji-prubeh-nemoci-covid-19,Zdraví,0.45,0.78,0.57,1.0,0.55,0.92,1.0,1.0
salah-pomohl-hattrickem-ztrapnit-united-soucek-byl-u-vyhry-nad-tottenhamem,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87
sparta-boleslav-10-hoste-zahazovali-tutovky-v-nastaveni-je-trestal-hlozek,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42
top-5-nejlepsich-beznych-uctu-jednickou-je-moneta-prekvapila-cs,Finance,0.96,0.8,0.57,0.77,0.92,0.78,0.73,0.0
tradicni-remeslo-a-rucni-prace-se-ceni-i-dnes-jejich-znacka-slavi-uspech,Finance,0.38,0.7,0.69,0.26,0.75,0.76,0.58,0.0
za-znalosti-v-kvizu-vyhrali-masazni-kurz-i-kloubni-vyzivu-zkuste-ho-take,Zdraví,0.89,0.82,0.84,0.92,1.0,0.84,0.99,0.06
zacha-rozhodl-o-vyhre-new-jersey-voracek-simon-a-palat-asistovali,Sport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98
zbavte-se-domacich-alergenu-sest-praktickych-rad-jak-na-to,Zdraví,0.71,0.75,0.91,0.84,0.58,0.94,0.8,0.2
zdrazil-vam-dodavatel-elektrinu-nebo-plyn-brante-se-moznosti-je-nekolik,Finance,0.63,0.81,0.99,0.99,0.68,0.97,0.9,0.24
